Z                                       xi                                                    xi1                                                    xi2                                                   xi3                                                     xi4                                                    delta                                                                delta1                                                                delta2                                                                delta3                                                                delta4                                                                Ts                                                                Ts1                                                                 Ts2                                                                 Ts3                                                                Ts4
 6.053195         0.000000             0.639731           0.000000         0.000000             0.000000           -0.877059         1.135175             -0.377879           -0.509031         -0.255811             955.899963           8044.786621          1309.755737             827.208801           675.174561
 6.053982         0.000000             0.481505           1.000000         0.000000             0.000000           -0.381759         1.262739             -0.126515           -0.631769         -0.260611             1178.002075           10157.658203          1627.783936             783.297729           694.079163
 6.054769         0.000801             1.000000           1.000000         0.000000             0.000000           -0.752764         0.631428             0.753202           -0.877503         -0.755760             1192.525146           6510.251953          1792.873657             564.660706           590.095154
 6.055556         0.004864             1.000000           1.000000         0.000000             0.000000           -0.506943         -0.380481             -0.378560           -0.877320         -0.513684             1327.670166           4001.637695          2096.179199             702.350891           600.605347
 6.056343         0.000000             1.000000           1.000000         0.000000             0.000000           -0.255747         -0.253742             0.498649           -0.754847         -0.756098             1574.791992           4867.739258          2569.946777             619.742249           629.728699
 6.057130         1.000000             1.000000           1.000000         0.000000             0.000000           0.122252         -0.503132             2.031036           -0.877856         -0.757236             3108.608643           4699.213379          2856.300537             585.218628           538.162415
 6.057917         1.000000             1.000000           1.000000         0.000000             0.000000           -0.003445         -0.877522             1.127538           -0.757885         -0.635570             6207.499023           4915.946289          3534.039551             672.018250           589.891174
 6.058705         1.000000             1.000000           0.088148         0.000000             0.000000           1.768584         0.126745             -0.252402           -0.879555         -0.755061             6813.579102           6874.479980          2782.167480             585.058472           507.720276
 6.059493         1.000000             1.000000           1.000000         0.000000             0.000000           2.661900         1.137090             -0.628659           -0.879069         -0.506015             4583.235840           7081.149902          2301.614990             553.115234           588.124817
 6.060280         1.000000             1.000000           1.000000         0.000000             0.000000           1.015123         1.393055             0.118306           -0.878603         -0.634080             3367.698730           4396.429199          2638.218750             613.647278           646.695251
 6.061068         1.000000             1.000000           1.000000         0.000000             0.000000           0.501187         1.384684             -0.004468           -0.756725         -0.378320             3099.017090           3866.394775          2680.116699             595.302246           764.127686
 6.061856         1.000000             1.000000           1.000000         0.000000             0.000885           -0.127274         0.745838             -0.508418           -0.876958         -0.501921             3120.325195           3925.210693          3646.700195             654.346985           747.342834
 6.062645         1.000000             1.000000           1.000000         0.000000             0.000003           0.761083         0.752845             -0.630396           -0.754645         -0.375954             3358.085449           6893.839355          3379.020264             717.418640           737.441162
 6.063433         1.000000             1.000000           1.000000         0.000000             0.000000           1.011673         0.374292             -0.509283           -0.757379         0.120709             3810.059814           6250.436523          2723.558105             768.028564           765.174377
 6.064222         1.000000             1.000000           1.000000         0.000002             0.030642           -0.002381         -0.506534             -0.878433           -0.755288         0.127342             3882.367432           6576.900879          2106.544922             790.643066           958.644897
 6.065010         1.000000             1.000000           1.000000         0.000000             0.001464           -0.508414         0.002075             -0.001140           -0.501057         -0.004712             2734.242432           7794.062988          2704.776611             935.820007           729.977783
 6.065799         1.000000             1.000000           1.000000         0.000000             0.000003           -0.625675         5.572724             -0.006030           -0.384390         -0.131122             2657.980469           10363.162109          2872.999268             876.291992           707.565674
 6.066588         1.000000             1.000000           1.000000         0.000000             0.000001           -0.630831         6.622650             -0.131190           -0.504584         -0.503716             2424.406738           11646.625000          3019.384766             925.067688           737.772522
 6.067377         1.000000             1.000000           1.000000         0.000000             0.000000           0.125273         0.883440             -0.754550           -0.877769         -0.878431             2608.325684           11577.443359          1015.667480             697.773132           470.336975
 6.068166         1.000000             1.000000           1.000000         0.000000             0.000000           -0.006699         -0.251633             -0.877861           -0.506757         -0.755690             2441.014893           6953.367676          2337.385742             1003.386963           554.723816
 6.068955         1.000000             1.000000           1.000000         0.000206             0.000000           0.245440         0.251990             -0.755739           0.123502         -0.754630             2596.249268           6677.387207          3004.408203             1212.837769           524.851624
 6.069744         1.000000             1.000000           1.000000         0.000000             0.000000           -0.002968         -0.250342             0.749037           -0.755059         -0.878566             2502.151611           5382.769531          3694.558594             1318.628662           524.831177
